Team,G,FG,FGA,FG%,3P,3P/G,3PA,3PA/G,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,TRB/G,AST,AST/G,STL,STL/G,BLK,BLK/G,TOV,TOV/G,PF,PTS,PTS/G
Atlanta Hawks,6,184,459,0.401,68,11.33333333,186,31,0.366,116,273,0.425,131,158,0.829,49,188,237,39.5,102,17,37,6.166666667,28,4.666666667,85,14.16666667,122,567,94.5
Brooklyn Nets,5,169,367,0.46,33,6.6,111,22.2,0.297,136,256,0.531,112,151,0.742,41,132,173,34.6,95,19,44,8.8,17,3.4,62,12.4,129,483,96.6
Charlotte Bobcats,4,135,301,0.449,31,7.75,85,21.25,0.365,104,216,0.481,67,94,0.713,33,126,159,39.75,79,19.75,17,4.25,18,4.5,60,15,81,368,92
Chicago Bulls,5,166,393,0.422,32,6.4,96,19.2,0.333,134,297,0.451,86,114,0.754,61,148,209,41.8,101,20.2,25,5,22,4.4,66,13.2,110,450,90
Dallas Mavericks,5,193,432,0.447,42,8.4,114,22.8,0.368,151,318,0.475,71,91,0.78,58,148,206,41.2,95,19,32,6.4,25,5,50,10,101,499,99.8
Golden State Warriors,6,229,503,0.455,53,8.833333333,159,26.5,0.333,176,344,0.512,113,160,0.706,83,179,262,43.66666667,146,24.33333333,40,6.666666667,26,4.333333333,103,17.16666667,156,624,104
Houston Rockets,5,211,475,0.444,42,8.4,135,27,0.311,169,340,0.497,110,148,0.743,86,165,251,50.2,91,18.2,28,5.6,27,5.4,66,13.2,136,574,114.8
Indiana Pacers,6,208,466,0.446,51,8.5,131,21.83333333,0.389,157,335,0.469,95,130,0.731,56,204,260,43.33333333,126,21,50,8.333333333,31,5.166666667,86,14.33333333,139,562,93.7
Los Angeles Clippers,6,225,494,0.455,59,9.833333333,161,26.83333333,0.366,166,333,0.498,141,191,0.738,74,176,250,41.66666667,140,23.33333333,57,9.5,29,4.833333333,86,14.33333333,140,650,108.3
Memphis Grizzlies,6,220,534,0.412,26,4.333333333,90,15,0.289,194,444,0.437,102,147,0.694,80,190,270,45,130,21.66666667,50,8.333333333,16,2.666666667,64,10.66666667,124,568,94.7
Miami Heat,4,145,304,0.477,38,9.5,88,22,0.432,107,216,0.495,79,104,0.76,21,126,147,36.75,84,21,29,7.25,18,4.5,42,10.5,79,407,101.8
Oklahoma City Thunder,6,211,513,0.411,45,7.5,154,25.66666667,0.292,166,359,0.462,128,151,0.848,85,219,304,50.66666667,108,18,35,5.833333333,51,8.5,89,14.83333333,133,595,99.2
Portland Trail Blazers,5,204,445,0.458,47,9.4,130,26,0.362,157,315,0.498,116,147,0.789,61,161,222,44.4,97,19.4,35,7,49,9.8,59,11.8,129,571,114.2
San Antonio Spurs,5,188,394,0.477,32,6.4,88,17.6,0.364,156,306,0.51,84,117,0.718,50,162,212,42.4,97,19.4,31,6.2,17,3.4,70,14,90,492,98.4
Toronto Raptors,5,164,368,0.446,35,7,110,22,0.318,129,258,0.5,124,150,0.827,53,159,212,42.4,95,19,26,5.2,15,3,84,16.8,129,487,97.4
Washington Wizards,5,176,400,0.44,31,6.2,81,16.2,0.383,145,319,0.455,90,128,0.703,57,158,215,43,102,20.4,41,8.2,33,6.6,52,10.4,111,473,94.6
